,Age,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,PerformanceRating,attrition__No,attrition__Yes,overtime__No,overtime__Yes,business_travel_freq__Non-Travel,business_travel_freq__Travel_Frequently,business_travel_freq__Travel_Rarely,empjobrole__Business Analyst,empjobrole__Data Scientist,empjobrole__Delivery Manager,empjobrole__Developer,empjobrole__Finance Manager,empjobrole__Healthcare Representative,empjobrole__Human Resources,empjobrole__Laboratory Technician,empjobrole__Manager,empjobrole__Manager R&D,empjobrole__Manufacturing Director,empjobrole__Research Director,empjobrole__Research Scientist,empjobrole__Sales Executive,empjobrole__Sales Representative,empjobrole__Senior Developer,empjobrole__Senior Manager R&D,empjobrole__Technical Architect,empjobrole__Technical Lead,empdep_Data Science,empdep_Development,empdep_Finance,empdep_Human Resources,empdep_Research & Development,empdep_Sales,maritalstatus__Divorced,maritalstatus__Married,maritalstatus__Single,edubackground__Human Resources,edubackground__Life Sciences,edubackground__Marketing,edubackground__Medical,edubackground__Other,edubackground__Technical Degree,gender__Female,gender__Male,emp_number
0,32,10,3,4,55,3,2,4,1,12,4,10,2,2,10,7,0,8,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1001000
1,47,14,4,4,42,3,2,1,2,12,4,20,2,3,7,7,1,7,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1001006
2,40,5,4,4,48,2,3,1,5,21,3,20,2,3,18,13,1,12,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1001007
3,41,10,4,2,73,2,5,4,3,15,2,23,2,2,21,6,12,6,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1001009
4,60,16,4,1,84,3,2,1,8,14,4,10,1,3,2,2,2,2,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1001010
5,27,10,2,4,32,3,3,1,1,21,3,9,4,2,9,7,1,7,4,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1001011
6,50,8,4,4,54,3,1,2,7,15,4,4,2,3,2,2,2,2,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1001016
7,28,1,2,1,67,1,1,2,7,13,4,10,4,3,7,7,3,7,3,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1001019
8,36,8,3,1,63,4,3,1,9,14,1,10,2,3,8,7,0,5,3,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1001020
9,38,1,3,3,81,3,3,3,4,14,4,10,4,4,1,0,0,0,3,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1001021
10,44,24,3,1,49,1,1,3,2,14,3,9,5,3,5,2,1,4,3,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1001022
11,47,3,3,4,49,3,4,3,9,12,4,28,2,2,22,2,11,13,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1001024
